Machine_ID,Client_Name,Operating_Hours,Temperature_C,Vibration_mm_s,Pressure_PSI,Last_Service_Days,Failure_in_Next_30_Days
M-0046,Epsilon Tech,7041,73.38023481101708,0.8477453854453152,118.15009395498572,268,0
M-0047,Alpha Corp,9555,57.929783521427844,0.9049545068875667,97.09214198028141,32,0
M-0048,Delta Mfg,6235,59.24687606950762,1.0788751835126866,108.91283420608947,299,0
M-0049,Alpha Corp,5486,86.76393027208204,1.8725740099858834,107.65244254686185,219,0
M-0050,Epsilon Tech,7099,60.54493120057269,0.4792811110300175,101.7239322225156,177,1
M-0051,Gamma Solutions,9670,58.4664948940404,0.19445820992333265,144.52512278076162,104,0
M-0052,Epsilon Tech,775,81.3731454236473,1.2180897873036585,98.55340469831786,236,0
M-0053,Gamma Solutions,8226,73.38552876285914,0.593965050933461,125.07395441101825,93,0
M-0054,Epsilon Tech,3152,60.620744234636014,0.8764157923571051,104.10798474678288,201,0
M-0055,Beta Industries,1585,72.16624975404619,1.5617043983405354,93.70045716672077,299,0
M-0056,Alpha Corp,3943,59.742473163597225,1.0222007112827594,111.54221364732604,231,0
M-0057,Alpha Corp,7555,81.00821398422605,1.4524770371782068,119.7364007658125,255,0
M-0058,Beta Industries,3073,80.61370964873133,1.1785517502116036,123.80764362598518,85,0
M-0059,Gamma Solutions,1021,75.32006198821944,2.01943615445202,133.43397665982604,35,0
M-0060,Alpha Corp,3843,73.61661061247017,1.8359399232958242,150.0,117,0
M-0061,Beta Industries,7989,87.61188124867374,1.1459658315838959,113.75771305633396,176,0
M-0062,Alpha Corp,9692,69.99686327388225,1.7040181286670486,100.05361739261919,276,0
M-0063,Delta Mfg,6873,58.181258745791986,3.1019763690865108,116.79311490192337,85,0
M-0064,Gamma Solutions,5675,74.49473912832306,0.8491673905542056,106.00680574390263,117,0
M-0065,Delta Mfg,161,90.86047049537113,0.7984903749764265,123.88949194778344,362,0
M-0066,Gamma Solutions,4297,59.85240506814148,2.167447173380279,90.54253555451417,204,0
M-0067,Beta Industries,995,66.38537233306015,1.3103995410073648,145.52501813600657,146,1
M-0068,Gamma Solutions,7629,74.16446038101452,0.11048075790691136,122.8407214216327,215,0
M-0069,Gamma Solutions,9467,69.4609515099426,3.339992658642805,84.73993973305753,105,0
M-0070,Beta Industries,1016,60.17696419622685,0.04690028315850829,99.36456646527542,349,0
M-0071,Gamma Solutions,7869,81.21857856230471,2.0698504076812836,122.24121566170908,297,0
M-0072,Alpha Corp,6439,93.2004072201726,2.133156795667733,127.64516084257183,356,0
M-0073,Epsilon Tech,7892,71.96131459023907,4.5899609871347895,90.91643559152055,69,0
M-0074,Beta Industries,6863,60.95931710263999,0.08348220118235883,120.69538775649423,255,1
M-0075,Epsilon Tech,7916,54.51039474946525,1.3626953939112363,80.78990191007115,231,0
M-0076,Beta Industries,8529,72.5797598122118,0.8375064056374677,108.6599620179343,203,0
M-0077,Beta Industries,878,81.03877343316258,0.6021340827918893,126.6807026315481,362,0
M-0078,Delta Mfg,9268,74.75167746495381,0.14199121053218497,101.7272640484553,248,0
M-0079,Delta Mfg,4887,69.97596159081147,1.2405463631726794,87.3961655129298,249,0
M-0080,Gamma Solutions,4859,64.10728348210694,0.9781251128482165,112.1932219456634,144,0
M-0081,Epsilon Tech,6331,59.0783636728191,0.16565080867930296,100.92921700046783,283,0
M-0082,Beta Industries,8571,78.34751326324883,1.4220185281443158,119.44337549098753,356,0
M-0083,Gamma Solutions,8684,79.13771621385585,2.0088477913423004,96.7201035167291,241,0
M-0084,Alpha Corp,7208,54.54270213309267,2.1868679466503944,98.4104466552035,341,0
M-0085,Beta Industries,5276,85.89838978180684,3.536721631361564,80.0,229,0
M-0086,Alpha Corp,2062,75.74071220894001,0.790104144814525,112.54917066577224,31,0
M-0087,Gamma Solutions,64,83.99594645145794,4.58873571845178,107.58642592585102,109,0
M-0088,Delta Mfg,8006,56.57872251514885,3.0084995225433477,92.17422993889893,27,0
M-0089,Gamma Solutions,2568,56.34175844584561,0.5275344533764934,112.90698070650637,343,1
M-0090,Alpha Corp,5463,68.51030690232703,0.2602503363402791,125.40605450966208,160,0
M-0091,Beta Industries,2027,75.02784426895194,0.8574284731914892,106.76648084871576,17,0
M-0092,Epsilon Tech,2695,87.96360822926964,0.7709927320296794,114.0225042473296,267,0
M-0093,Gamma Solutions,9687,77.06078913815132,1.2860400405864525,114.09966874377746,129,0
M-0094,Beta Industries,5258,67.57318723187967,1.3133935545004376,91.9350525923156,220,0
M-0095,Delta Mfg,5618,59.73630792334108,2.0793634499924933,140.84878731061394,82,0
M-0096,Delta Mfg,6736,82.3000057271915,1.0696879763947549,102.93725254816574,49,0
M-0097,Delta Mfg,391,60.35294574249285,0.16610012068957125,119.84174302790406,41,0
M-0098,Beta Industries,5892,86.28468554772323,2.9309729816109833,121.53822915843574,20,1
M-0099,Gamma Solutions,3561,67.1561535039349,0.5560838336868028,107.90607309326373,327,0
M-0100,Beta Industries,6184,85.9058207261785,5.3261545036082305,119.10192537589452,37,1
M-0101,Beta Industries,3099,76.78931290059279,0.18810694291959057,113.68728832724584,39,0
M-0102,Epsilon Tech,6278,68.63004510557542,4.7641258582570165,88.73540364158892,109,0
M-0103,Epsilon Tech,8392,64.80603628173873,0.14313476063800495,105.01590948124867,64,1
M-0104,Gamma Solutions,3104,66.59092122653921,0.3940669560148874,100.81173646468908,175,0
M-0105,Epsilon Tech,7215,74.28316692375238,0.071549547201842,103.07382437980809,279,0
M-0106,Delta Mfg,2454,70.77156496217717,1.8317453162166506,90.43995233245043,32,0
M-0107,Epsilon Tech,8996,64.06188591931294,2.848670321786968,126.89650575119045,209,0
M-0108,Delta Mfg,2731,68.34368589682367,0.8539301923693235,134.0298898192012,19,0
M-0109,Gamma Solutions,8154,70.7857702971915,3.9575499282073743,124.67004463997613,106,0
M-0110,Beta Industries,9762,48.71265905585188,1.338491743145009,129.05793836220715,206,1
M-0111,Beta Industries,5056,74.58168114788698,1.491407337780642,104.83047744487766,247,0
M-0112,Epsilon Tech,8110,60.20278775283193,2.800557529508274,100.45614747520945,323,0
M-0113,Delta Mfg,3840,58.46667596794255,0.5281713363140859,98.32119429782432,167,0
M-0114,Alpha Corp,1028,53.1265565288929,0.6560507897171864,119.66097384435834,89,0
M-0115,Alpha Corp,7385,52.061075021321095,3.5459236943299395,113.40594579716225,316,0
M-0116,Alpha Corp,502,56.44552496887711,3.4684001548941357,108.84167432602361,11,0
M-0117,Beta Industries,6910,62.90979042369509,5.625033298004686,129.42722816293013,49,0
M-0118,Beta Industries,9062,89.53259137526568,3.481708991342761,116.07412030723015,61,0
M-0119,Delta Mfg,6938,64.74120324104796,0.20436895813128875,97.42013543719122,171,0
M-0120,Epsilon Tech,4488,71.77750106268032,2.603558930509595,99.78636756296457,143,0
M-0121,Alpha Corp,206,74.00481386506328,0.79103852045022,120.22989948881218,207,0
M-0122,Delta Mfg,5134,71.3106518621585,7.033048786826208,125.62599278981895,201,1
M-0123,Delta Mfg,5977,69.22556539274007,0.9587868994763771,118.27520348383955,5,0
M-0124,Epsilon Tech,7721,58.04706236400755,1.210603299693039,138.45333121808122,211,0
M-0125,Delta Mfg,7035,84.50927548279212,1.1318156928103138,134.5251074859713,29,0
M-0126,Epsilon Tech,1484,88.07196643637886,0.5823303070119492,116.61553752276144,190,1
M-0127,Gamma Solutions,7858,53.17341305877314,0.11697813245861505,97.42129010777747,188,1
M-0128,Epsilon Tech,863,59.7597140911362,3.3900246549517714,90.35018732402348,325,0
M-0129,Alpha Corp,2790,67.20189657622994,2.434360921652846,104.18927382477928,255,0
M-0130,Alpha Corp,7408,60.35462205089809,0.22540917885940204,121.29820169624236,150,0
M-0131,Epsilon Tech,8755,75.05965553455866,2.2493173576924965,137.39970618967908,13,0
M-0132,Gamma Solutions,5116,62.71727797593387,1.4746343726491649,116.261705516162,157,0
M-0133,Gamma Solutions,6019,91.65056067806603,0.7892738807193127,127.53084191346855,80,1
M-0134,Alpha Corp,1757,81.90548594343596,0.4395870437614452,106.32038770718296,356,0
M-0135,Gamma Solutions,7574,72.12574030632214,2.946266204616024,119.34153687841325,273,0
M-0136,Delta Mfg,6374,80.26986263319732,1.806900798429135,122.35035244215759,148,0
M-0137,Beta Industries,6892,81.05900424357309,1.1902467646694002,80.30608586221207,206,0
M-0138,Delta Mfg,1678,64.36052511941757,1.4107542420687733,103.79841796435234,114,0
M-0139,Alpha Corp,3242,61.83782755458035,0.1432244925396214,124.24550576416804,6,0
M-0140,Gamma Solutions,4636,70.78143062969647,0.9634522981232114,114.11702503454848,278,0
M-0141,Epsilon Tech,1059,78.61636124497944,0.32294964062064624,92.052274277736,232,0
M-0142,Beta Industries,6668,71.39060398653417,0.3505176716117807,80.0,137,0
M-0143,Epsilon Tech,9914,54.23003517809003,1.6239783266120333,104.51328882046991,160,0
M-0144,Alpha Corp,3157,61.97175556049158,3.6330017542076853,108.92621460659181,344,1
M-0145,Gamma Solutions,5915,69.26027136405622,0.775659485395772,96.74115575257481,289,0
M-0146,Epsilon Tech,9789,69.2433439567417,0.34931604418092155,112.14627405541992,205,0
M-0147,Epsilon Tech,2693,89.72542176789808,1.5693725081418723,117.59580120849343,326,1
M-0148,Beta Industries,3627,56.14012057601002,3.07409084783188,120.06030756089349,305,0
M-0149,Beta Industries,9555,75.05589241835875,2.06938811427629,80.0,360,1
M-0150,Gamma Solutions,5450,84.8911310832829,3.0460597032457075,90.2857235328782,158,0
M-0151,Beta Industries,1663,92.71449745422797,1.1536002802373042,105.43066027467897,358,1
M-0152,Epsilon Tech,9721,65.95602576816039,2.090741463964794,118.58259696556195,106,1
M-0153,Epsilon Tech,5592,74.914294527202,0.22634694236163427,117.33851020325054,82,0
M-0154,Alpha Corp,7392,75.69760357198646,0.6421979924818821,117.07804921815014,342,0
M-0155,Epsilon Tech,1306,71.9548173155329,0.7403362802632176,104.24873087046602,270,0
M-0156,Gamma Solutions,6776,69.01154798760695,1.0739966557807954,105.08549844035059,49,0
M-0157,Delta Mfg,5864,74.35975389500045,3.9692272159158795,99.07506097367389,206,0
M-0158,Alpha Corp,9474,44.677539147803145,3.110744698172437,121.52291192158772,218,0
M-0159,Alpha Corp,7526,76.82069490062631,0.21671603794328914,96.19266818390632,306,0
M-0160,Gamma Solutions,8901,71.26177903661967,0.2845443982394244,122.75054592784355,164,0
M-0161,Gamma Solutions,5575,67.77525103221734,0.6639108605504159,113.11779857206469,279,0
M-0162,Beta Industries,5530,90.46862195719558,0.5153078349059962,109.3243328231727,322,0
M-0163,Alpha Corp,4413,63.250659812094476,1.4308757920894983,100.14934400335301,231,0
M-0164,Beta Industries,3748,65.9692401093497,3.4961072635458557,89.6668720825381,199,0
M-0165,Epsilon Tech,663,89.91553302204734,4.916806276313282,100.28520865432931,214,0
M-0166,Alpha Corp,1998,61.679386951501435,1.5902544387228708,105.0498969706267,284,0
M-0167,Alpha Corp,7994,64.4988471706346,2.7317132274574845,80.0,276,0
M-0168,Delta Mfg,1495,68.5297457656915,1.1172993754100427,107.03967266998004,185,0
M-0169,Alpha Corp,3304,78.4073448212955,0.3504101761348258,123.86536052039008,210,0
M-0170,Epsilon Tech,3763,72.07802507353314,1.1156770731970558,118.50826858150809,121,0
M-0171,Beta Industries,5232,57.07374652847737,1.2147999528807754,102.55691186387739,216,0
M-0172,Beta Industries,1853,64.67831436872811,2.034856159928376,110.70404447622842,97,0
M-0173,Delta Mfg,6585,63.92645566787789,0.37246703603047143,101.65753145867001,119,0
M-0174,Epsilon Tech,1291,69.22778954776955,0.6890356745496926,112.23141100003544,282,0
M-0175,Beta Industries,3581,74.25843658629829,0.678899860745544,133.10161735616046,106,0
M-0176,Gamma Solutions,7554,74.18205755887972,4.8074444292226115,124.52748203937314,318,0
M-0177,Epsilon Tech,7280,52.239882459515975,0.8803319961192444,117.81191458539129,142,0
M-0178,Epsilon Tech,1636,80.63940987560856,2.1103210230001794,102.60672631424423,323,0
M-0179,Delta Mfg,3696,72.52568845996623,2.084317747138271,121.24907589417258,268,0
M-0180,Beta Industries,698,83.84532047593906,0.46293816221832224,84.6968457294042,291,0
M-0181,Epsilon Tech,4737,74.44198327290673,1.2724914984830789,106.21469777013664,167,0
M-0182,Beta Industries,854,81.01322957735762,3.370766639115135,118.75567129735924,160,0
M-0183,Gamma Solutions,8164,74.66545311450128,0.9671005437220924,121.10631821071627,231,0
M-0184,Delta Mfg,5855,83.46225756202749,4.35384131467929,120.04826735323611,14,0
M-0185,Gamma Solutions,7392,75.22250636017779,0.36207246827866496,114.42246033814541,193,0
M-0186,Delta Mfg,6528,69.02084753557097,0.11557931938365472,107.06412531374176,155,0
M-0187,Epsilon Tech,5249,92.72434720446881,3.330870096057449,118.06963954739733,101,1
M-0188,Delta Mfg,5172,78.89037122279892,2.822669359114448,95.7070843912055,60,0
M-0189,Alpha Corp,1707,75.73744421004413,7.357362145115129,97.32984105060125,43,0
M-0190,Beta Industries,5791,57.23695583461664,1.7063110911727146,110.92602014690445,193,0
M-0191,Beta Industries,9925,57.11692382536462,4.139518854093705,112.5979646406312,311,1
M-0192,Alpha Corp,5535,72.92715482141854,2.6312536127894046,82.6157723215303,109,0
M-0193,Gamma Solutions,4931,71.45521197768241,2.7909538763252213,116.82719571424278,93,1
M-0194,Alpha Corp,3510,63.858774349916835,1.2629635688518028,121.5909256687909,216,0
M-0195,Epsilon Tech,202,71.4098269961206,0.7227854398325462,108.84072143800557,163,0
M-0196,Epsilon Tech,4218,85.88626928043595,4.089888199981042,145.61699424925988,351,1
M-0197,Beta Industries,8958,76.95402474550299,0.8487602649617283,99.7559734052722,234,0
M-0198,Epsilon Tech,4389,58.589914902472614,1.160948226957367,104.58369254919695,351,0
M-0199,Beta Industries,2327,68.88491172857056,0.8861954161122153,104.07399640809186,167,0
M-0200,Alpha Corp,8004,61.950335191474394,1.247987499053814,108.85718583063473,148,0
M-0201,Alpha Corp,2931,66.12300083591438,0.9537475590602669,105.06912780550563,28,0
M-0202,Alpha Corp,7777,65.86384334370358,0.07373425147347659,88.89784183092692,259,0
M-0203,Beta Industries,197,65.22354417395995,3.206218640870901,101.80177555645287,86,0
M-0204,Alpha Corp,7125,57.448646280266054,0.8815433146533329,108.53568956338886,108,0
M-0205,Alpha Corp,1930,68.7234531848181,1.3335374484446312,128.42858123092995,117,0
M-0206,Gamma Solutions,6287,64.3939236315269,0.22481838002480015,143.0336491005937,364,0
M-0207,Alpha Corp,8800,40.70551309997732,0.005090399600994319,130.03210846775983,15,1
M-0208,Epsilon Tech,9339,90.52972024501663,0.42213275033992403,98.3693145549109,211,1
M-0209,Beta Industries,4282,80.88769654216672,1.8290664381253854,99.56285584060751,318,0
M-0210,Gamma Solutions,2511,66.23699275075003,0.15669892404052482,107.61007133735974,31,0
M-0211,Delta Mfg,9986,70.18819049740598,3.593489426983693,136.76838333280378,282,0
M-0212,Beta Industries,659,58.28345652682438,0.3631504685778745,107.5186392172716,185,0
M-0213,Epsilon Tech,2811,86.95722877810866,0.34335317691416956,90.08738764193853,66,0
M-0214,Beta Industries,7098,88.97288694773111,0.30043741395932433,102.48234294570447,316,0
M-0215,Epsilon Tech,6546,71.56693728246525,0.021120566803955045,121.35584002729125,63,0
M-0216,Epsilon Tech,9561,80.23530644185345,2.216335208061464,120.3491041534413,228,0
M-0217,Delta Mfg,1986,71.75286778933923,3.1195767447089304,106.99675000262516,101,0
M-0218,Beta Industries,8338,56.63274561124069,1.428509261618613,120.25122010340046,356,1
M-0219,Delta Mfg,2911,65.88176631036343,0.31275187801505333,80.0,139,0
M-0220,Delta Mfg,1734,71.31927966771957,0.5037924282051829,111.55743852549047,119,0
M-0221,Beta Industries,1843,65.45452281256556,0.969185570879974,122.91028132052945,57,0
M-0222,Alpha Corp,8680,67.81346722564965,4.629994489383849,97.50705087268197,131,0
M-0223,Alpha Corp,2976,69.08600442490885,0.42623518399136673,97.45492195255568,37,0
M-0224,Delta Mfg,1959,69.19121502134539,1.973171874793554,82.00327770854787,111,0
M-0225,Gamma Solutions,5759,70.52258490497483,0.8682504972139837,133.8484339221604,153,0
M-0226,Delta Mfg,6694,59.39394933603399,0.5304066691756317,99.1976903446765,250,0
M-0227,Delta Mfg,2385,62.82983850872064,0.9129772747971969,113.61564916793168,242,0
M-0228,Delta Mfg,4736,57.15415734300031,0.11080362167921551,119.05875562225062,208,0
M-0229,Alpha Corp,1802,79.778155496862,2.404344316125335,132.6810192371218,170,0
M-0230,Alpha Corp,8155,48.943530581596754,0.4181864297516643,107.69153339021547,257,0
M-0231,Alpha Corp,8120,81.53590343316925,1.9387259027654935,101.90855309332372,279,0
M-0232,Delta Mfg,6616,83.86349397262843,0.10619448492091899,112.5960147285583,363,1
M-0233,Gamma Solutions,5534,66.97819413017379,4.654927992127062,129.2612041481343,113,0
M-0234,Alpha Corp,4061,43.96862912172701,0.32167527024083703,107.44741202898824,175,0
M-0235,Beta Industries,262,66.38689438032709,3.2150689404236816,95.67696377623885,89,0
M-0236,Beta Industries,6287,69.35815838711181,2.4869436935447236,86.88863287526956,135,0
M-0237,Beta Industries,8815,59.89401780071086,5.156477334831136,91.68053923092162,294,1
M-0238,Epsilon Tech,9208,64.84781606191757,0.9748173768657067,122.96587246109998,303,0
M-0239,Delta Mfg,2049,85.30195198863352,1.9496097488571635,105.19063285539782,359,0
M-0240,Beta Industries,5423,76.64927162301741,0.6947461850130336,100.88718635118934,206,0
M-0241,Delta Mfg,4548,60.754358856219,0.3056884469323174,99.26049165224086,318,0
M-0242,Beta Industries,3108,54.02400830404568,0.8779895597753449,111.27568790300273,73,0
M-0243,Gamma Solutions,7158,66.72982682390229,0.27183147167363275,106.40817359351624,259,0
M-0244,Delta Mfg,7400,67.86543220649563,6.029798464036027,105.9030178442112,358,1
M-0245,Beta Industries,3170,74.96199187363317,0.15179793444221368,130.2398589171611,148,0
M-0246,Alpha Corp,9874,64.64683287432341,1.334516009156594,133.0702442279245,225,0
M-0247,Delta Mfg,2255,75.11499575361862,1.477110759014951,85.84967490636505,105,0
M-0248,Epsilon Tech,1154,89.35154040060229,1.1585438601698095,114.91389096714437,44,0
M-0249,Alpha Corp,4499,78.15501022444262,1.6278892387629837,98.34706852067912,356,0
M-0250,Alpha Corp,6295,69.51911492669227,0.18525410081484683,106.2762332920836,26,0
M-0251,Epsilon Tech,6197,68.16849528946706,1.2145839376649439,114.63917577690042,304,0
M-0252,Alpha Corp,9888,66.43326865820129,0.5078580588641831,106.80920124603621,261,0
M-0253,Alpha Corp,1648,81.80640912452145,4.224524128304059,113.4568982094145,59,0
M-0254,Beta Industries,5539,63.726865540486976,2.1536785732688797,120.09455309047877,61,0
M-0255,Beta Industries,9637,70.45222708999982,5.391144055523056,114.4186520081048,305,0
M-0256,Delta Mfg,4199,70.51197901881085,0.05741920318884837,100.29745543748565,70,0
M-0257,Delta Mfg,8445,64.98215807188468,0.5034885189457323,100.56200589544514,271,1
M-0258,Delta Mfg,2557,56.27534452115899,0.32615713761760756,88.40442055072947,257,0
M-0259,Beta Industries,5592,73.22974503617668,0.01682589939293632,97.19119553718923,125,0
M-0260,Delta Mfg,98,69.38996028144616,0.416252563466072,139.4310254284779,19,0
M-0261,Alpha Corp,2200,75.0024046943657,1.7034247928966129,98.11994638857134,119,0
M-0262,Beta Industries,2961,64.66399693560832,0.3941699244413043,92.09931781334271,320,0
M-0263,Delta Mfg,4973,82.20821298813048,1.0669772527326689,114.7989179276716,66,0
M-0264,Alpha Corp,4433,61.23226218788155,3.281450627069039,108.3445286106221,245,0
M-0265,Delta Mfg,2869,87.12040284017893,1.7750690697329463,107.06610144726162,57,0
M-0266,Gamma Solutions,956,52.52363490171739,0.7528708518474498,131.13568949618136,44,0
M-0267,Delta Mfg,8352,74.3477006455689,0.6989431641894147,118.23690013337549,12,0
M-0268,Gamma Solutions,5699,74.75430682526624,0.9124807709930769,102.05010602444787,236,0
M-0269,Delta Mfg,6944,62.04442932059118,0.2922741498451389,103.6328612361233,24,0
M-0270,Epsilon Tech,4493,74.24393937861012,1.507686063521946,102.46120229141472,257,0
M-0271,Delta Mfg,9492,82.7951866976016,0.6791955391879219,123.12109432370386,284,1
M-0272,Beta Industries,4911,47.831811606459354,2.8695219499058613,105.37778555820294,324,0
M-0273,Beta Industries,3987,75.02744807490815,2.119281934378255,83.10269746318774,361,0
M-0274,Gamma Solutions,9719,45.06729179669922,1.4143878174824358,109.27520481898483,251,0
M-0275,Beta Industries,6015,60.34335196476792,0.67931208951421,86.94460998308107,94,0
M-0276,Alpha Corp,1218,86.29166364900945,0.3534540723342712,142.76345902632352,22,0
M-0277,Epsilon Tech,4496,64.18217966607946,2.2451811327095603,95.51498129229154,157,0
M-0278,Epsilon Tech,4735,58.261200355910276,0.999492364301187,107.57202851963405,89,0
M-0279,Alpha Corp,4555,68.02062271015318,0.38185465537020125,113.87304102051706,202,0
M-0280,Gamma Solutions,9146,90.67906338163552,0.325694907278695,105.67012758981154,197,1
M-0281,Alpha Corp,8050,51.68317752793974,0.27120569186939447,105.64954397800712,45,0
M-0282,Alpha Corp,3446,59.48690088360655,2.2519599327690925,116.32740929241315,79,0
M-0283,Epsilon Tech,1045,84.97431683179626,0.3900754270130486,132.89323938194417,39,0
M-0284,Delta Mfg,6893,88.57702343537733,1.1218557936768305,121.51263622725946,284,0
M-0285,Epsilon Tech,1693,68.96568775709716,0.900978789052846,132.17770817860315,155,0
M-0286,Epsilon Tech,3436,57.60947297473358,1.2998618492515004,94.30071337859746,149,0
M-0287,Beta Industries,8754,90.95843501809159,3.1452466048079235,114.76043949883042,343,1
M-0288,Alpha Corp,5895,85.94442391749197,3.03456221056011,112.32869078087418,52,0
M-0289,Epsilon Tech,3354,76.78946987762232,0.8996931171263081,115.26636937515102,251,0
M-0290,Alpha Corp,225,61.8759765106258,0.023228302668536246,130.6434795595336,147,1
M-0291,Beta Industries,4893,69.50970659161963,0.8338490436117869,106.68816275311919,329,0
M-0292,Alpha Corp,7022,68.3963991895517,1.3978435531569116,103.9174495016887,350,0
M-0293,Epsilon Tech,9151,73.30851304615578,1.2238699788715652,118.00971196127996,258,0
M-0294,Alpha Corp,5600,84.51001438131335,1.580470312024232,83.32695908651229,273,0
M-0295,Beta Industries,7996,78.79417041137403,0.2509881625089177,106.44721926316733,125,0
M-0296,Delta Mfg,9007,59.226239230152416,1.5599566318684706,107.98703466071821,204,1
M-0297,Alpha Corp,7683,83.76496450019538,0.3025347896474666,96.19462075539612,256,0
M-0298,Epsilon Tech,4642,73.13132140013155,2.0825887251404067,125.85588517034866,131,0
M-0299,Beta Industries,7679,76.87065795858916,0.6212009916826894,94.06639523985073,21,0
M-0300,Epsilon Tech,8208,84.66540859278602,1.8562707696694274,107.96190427454306,78,0
M-0301,Epsilon Tech,7339,58.88419750486449,0.07357361480363794,114.39735837984452,335,0
M-0302,Alpha Corp,9435,69.64174421293536,0.7860183431817616,130.30177342214176,51,0
M-0303,Epsilon Tech,2205,64.68545448640785,1.831345431167549,109.8416534767872,362,0
M-0304,Alpha Corp,1069,54.32140574634544,0.3859631046639816,124.04230391192316,361,0
M-0305,Delta Mfg,3444,73.4670997760492,2.379219749383169,120.50893095915691,266,0
M-0306,Epsilon Tech,1060,95.11556551584424,1.4945428256671234,111.85186334253714,116,1
M-0307,Epsilon Tech,2327,51.59922255494247,1.3285032526309943,93.65729887589816,55,0
M-0308,Epsilon Tech,3420,69.67719388950529,0.654386476260484,88.48128708643476,292,0
M-0309,Gamma Solutions,301,76.40542935074774,0.9879779717971291,111.5975810212878,51,0
